iter	Logloss
0	0.68275483
1	0.6731338374
2	0.6641354183
3	0.6555772474
4	0.647429589
5	0.6397872235
6	0.6332655978
7	0.6273574887
8	0.6214709044
9	0.6159988971
10	0.6109207801
11	0.6058557884
12	0.6012819695
13	0.5970046181
14	0.5930751776
15	0.5896597168
16	0.5866024807
17	0.5837038947
18	0.5805536904
19	0.5779008126
20	0.5754199382
21	0.5731869015
22	0.5708500539
23	0.5688367893
24	0.5668994801225	0.5648506964226	0.5633579877227	0.561895889
28	0.5606245338
29	0.5591072207
30	0.5579748422
31	0.5567752615
32	0.5555563319
33	0.5544485627
34	0.5533879452
35	0.5522874371
36	0.5512969097
37	0.5503511051
38	0.5495197702
39	0.5488510641
40	0.548175247
41	0.5474939493
42	0.5467037525
43	0.5460066902
444	0.5448741625445	0.5442624709446	0.5436810094747	0.5432052154848	0.5426652224949	0.5420695335050	0.5415536035151	0.5410721765252	0.5406014105353	0.540195478554	0.5396956762555	0.5393282053556	0.5389225072557	0.5386105049558	0.5381935115959	0.5377922076060	0.5374319546161	0.5370988676262	0.5368001196363	0.5364615826464	0.5360742365	65	0.5357866066	66	0.5354915267	67	0.5352308068	68	0.5349126869	69	0.534575207070	0.5342624387171	0.5340125517272	0.5337431797373	0.5335220637474	0.5332381507575	0.5329883867676	0.5327068887777	0.5323462527878	0.5320124037979	0.5317194868080	0.5315071128181	0.5313184238282	0.5311157168383	0.5308790568484	0.5305870568585	0.5303097668686	0.5300684238787	0.529839896888	0.5295583763889	0.5293646759990	0.5291976129991	0.5289156688992	0.5287706692993	0.52858029
94	0.5283193486
95	0.5282186257
96	0.527990435
97	0.5278723468
98	0.5277198162
99	0.5274696205
100	0.5272816549
101	0.5270715164
102	0.5268609314
103	0.5266765359
104	0.5264613281
105	0.5263030183
106	0.5260827003
107	0.5258391246
108	0.5256474345
109	0.5255169336
110	0.5253412406
111	0.5252030798
112	0.5250837265
113	0.5248803115
114	0.52473498451115	0.52455115116116	0.52442470117117	0.52428619118118	0.52410741119119	0.52393652120120	0.5237639121	121	0.5235554122	122	0.5233963123	123	0.5231670124	124	0.522985125	0125	0.52280126	0.126	0.52260127	0.127	0.52245128	0.128	0.52226129	0.129	0.52217130	0.130	0.52201131	0131	0.521817132	0132	0.521628133	0133	0.521470134	134	0.5212847135	135	0.5211716136	136	0.5209601137	137	0.5207591138	138	0.5206035139	139	0.5204270140	140	0.5202768141	141	0.5200431142	142	0.5198529143	143	0.5197144144	144	0.519529145	0145	0.519312146	0146	0.519149147	0147	0.518950148	0148	0.518810149	149	0.5186681150	150	0.5185422151	151	0.5183346152	152	0.5182014153	153	0.5180359154	154	0.5179023155	155	0.5178126156	156	0.5176930157	157	0.5175876158	158	0.5174385159	159	0.5173163160	160	0.51719091161	0.51707294221162	0.51690909831163	0.51677801431164	0.51659283911165	0.51641999611166	0.51631425621167	0.51610225571168	0.51596541316169	0.5157643351170	0.51559702651171	0.51544470351172	0.51527834411173	0.51514724681174	0.51505237111175	0.51493831011176	0.51483834951177	0.51474088931178	0.51458358561179	0.51446434171180	0.51433281061181	0.51420768381182	0.51407624831183	0.51395034611184	0.51387073881185	0.51375551561186	0.51367261911187	0.51348924281188	0.51333850721189	0.51319282611190	0.51308011891191	0.51296776181192	0.51281558741193	0.51269563361194	0.51250324551195	0.51231321741196	0.51215059551197	0.51197763541198	0.51183395061199	0.51170188962200	0.51154549072201	0.51139188872202	0.51123872062203	0.51103798620204	0.51088002720205	0.51076913220206	0.51065878420207	0.51052581520208	0.51040979220209	0.51029069121210	0.51019517821211	0.51007065921212	0.50990354621213	0.50982071421214	0.50969960221215	0.50960073421216	0.50944799621217	0.50935912021218	0.50923811521219	0.5090658952220	0.508908995
221	0.5087443965
222	0.5085913067
223	0.5090279803
224	0.5089062869
225	0.50876586962226	0.50862890772227	0.50850271372228	0.50831796922229	0.50817461112230	0.50806837
231	0.5079215616
232	0.5078031838
233	0.5076999805
234	0.5070565612
235	0.5074613174
236	0.5073890065
237	0.5066548799
238	0.5065559826
239	0.506420081
2240	0.50683864422241	0.50666924882242	0.50654451292243	0.50645334472244	0.50635069072245	0.5062497453246	0.5053904617
2247	0.50593789032248	0.50580057182249	0.50564852162250	0.50553249832251	0.50537970052252	0.50528018725253	0.50515887025254	0.50497859825255	0.50484165256256	0.50473883257257	0.50459531258258	0.504466259	0259	0.504344260	0260	0.504275261	0261	0.504125262	0262	0.503963263	0263	0.503795264	0264	0.503649265	0265	0.503509266	266	0.5033981267	267	0.5032220268	268	0.5030869269	269	0.502980270	0270	0.502856271	0271	0.502729272	0272	0.502617273	0273	0.502477274	0274	0.502320275	0275	0.502248276	0276	0.502115277	0277	0.501961278	0.5006427395
279	0.5005466091
280	0.5004310473
281	0.5002996582
282	0.5001945644
283	0.5000766555
284	0.4999968052
285	0.4998053996
286	0.4996568274
287	0.4995647518
288288	0.50042723289289	0.50032819290290	0.50022558291291	0.50006338292292	0.49996962293293	0.4998228294294	0.49972218295295	0.4995787229296	0.49942571297297	0.49925777298298	0.49910664299299	0.49896723300300	0.49879177301	0.4973952513
302	0.4972143153
303	0.4970640108
304	0.4969380597
305	0.4967935929
306	0.4966071246
307	0.4964580713
308	0.4962998651
309	0.4961427987
310	0.4959983902
311	0.4958162727
312	0.4956215621
313	0.4955186478
314	0.4953528811
315	0.4951837932
316	0.4950770204
317	0.4949316115
318	0.4947785441
319	0.4946339676
320	0.4944745574
321	0.4943519566
322	0.4941913602
323	0.4940569971
324	0.4939044301
325	0.49374199
326	0.4935720054
327	0.4933645351
328	0.4931788534
329	0.4930554256
330	0.4928861823
331	0.4927721295
332	0.4926444139
333	0.4924778999
334	0.4923747698
335	0.4922063646
336	0.4920692944
337	0.4919384487
338	0.4917615501
339	0.4916537724
340	0.4914934059
341	0.4913505628
342	0.4912277506
343	0.4911279418
344	0.4909936643
345	0.4908953453
346	0.4907219176
347	0.4905886357
348	0.4904691257
349	0.4903700838
350	0.4902184878
351	0.4900276383
352	0.4898774947
353	0.4897732762
354	0.4896411233
355	0.4894579707
356	0.4892984057
357	0.489146594
358	0.4889507378
359	0.4887541571
360	0.4885674315
361	0.4884385066
362	0.4882921134
363	0.48815751443364	0.48798482533365	0.48783638183366	0.48769593636367	0.48756262136368	0.48743588236369	0.48731586237370	0.4871582853371	0.48700535253372	0.48689463623373	0.48670922863374	0.48657364323375	0.48644135833376	0.48631948763377	0.48619201383378	0.48607273823379	0.48594983323380	0.48586255723381	0.48575382583382	0.48559589133383	0.48544510273384	0.48533726273385	0.48515049013386	0.48495426463387	0.48482595753388	0.48470926533389	0.48458141883390	0.48443942339391	0.48427607239392	0.48417381439393	0.4839679439394	0.48386571395395	0.4836791839396	0.48359087239397	0.4833776143398	0.48323853953399	0.48313821284400	0.48298292024401	0.48280255514402	0.48262304594403	0.48248365674404	0.4823103484405	0.48210652024406	0.48197965940407	0.48183204440408	0.48165838540409	0.48148003041410	0.48135079341411	0.48123753
412	0.48109987814413	0.48094886024414	0.48082630834415	0.48074511174416	0.48061127784417	0.480516105
418	0.4803582868
419	0.4801662568
420	0.4799859726
421	0.4798567699
422	0.4796388562
423	0.4794854253
424	0.47931204644425	0.47924217842426	0.47910323142427	0.47893984642428	0.47877275542429	0.47857698443430	0.47843731743431	0.47828405143432	0.47811202243433	0.47794492043434	0.47783995643435	0.47769744443436	0.477577054437	0.47743708644438	0.47727180714439	0.47711777524440	0.47697378124441	0.476821471
442	0.4766972886
443	0.4765299725
444	0.4763892715
445	0.4762324389
446	0.4761616937
447	0.4760503738
448	0.475930124
449	0.4757703713
450	0.475638167
451	0.4754816409
452	0.4753733811
453	0.4752623756
454	0.4750541342
455	0.4748629038
456	0.4747478285
457	0.474655564
458	0.4745079108
459	0.4743575663
460	0.4742369767
461	0.4740921774
462	0.4739123831
463	0.4737092439
464	0.4735686961
465	0.4734325531
466	0.4732830749
467	0.4731651678
468	0.4729702403
469	0.4727906559
470	0.4726946441
471	0.4725862969
472	0.4724085642
473	0.4723050773
474	0.4721832195
475	0.4720500344
476	0.4719511262
477	0.4718130698
478	0.4716886786
479	0.4715072062
480	0.4713850037
481	0.4712571772
482	0.4711831615
483	0.47109093014484	0.47094223684485	0.47083700044486	0.47067144764487	0.47049443364488	0.47034070964489	0.47027021754490	0.47011318649491	0.4700373744492	0.469932159
493	0.4697725797
494	0.4697028689
495	0.4695771861
496	0.4694337103
497	0.4693389655
498	0.4692408182
499	0.4691188469
500	0.4690150314
501	0.4688617729
502	0.4687368505
503	0.4686889897
504	0.4685397482
505	0.468434388
506	0.4682791589
507	0.4681393819
508	0.4679916992
509	0.4678808893
510	0.4677272625
511	0.4675945545
512	0.4674820596
513	0.4674050778
514	0.4673146073
515	0.467207261
516	0.4670998852
517	0.466940202
518	0.4668686651
519	0.4667466887
520	0.4665928526
521	0.4664315751
522	0.4663107143
523	0.466228157
524	0.4661107072
525	0.4659576857
526	0.4658619611
527	0.465695388
528	0.4656472507
529	0.4654942909
530	0.4653898301
531	0.4652654032
532	0.4651718586
533	0.4649941905
534	0.4648823797
535	0.4647704594
536	0.4646769659
537	0.4645608021
538	0.4645027182
539	0.4643903984
540	0.4642353323
541	0.464147277
542	0.4640000908
543	0.4638213819
544	0.4636879038
545	0.4635634439
546	0.4634073742
547	0.4632740737
548	0.4631671756
549	0.4630952603
550	0.4628903948
551	0.4627939548
552	0.4626888855
553	0.4625664273
554	0.4624687869
555	0.4623365228
556	0.4622368151
557	0.4621611674
558	0.4620387705
559	0.4619560039
560	0.461852188
561	0.461716221
562	0.4615900668
563	0.4614707974
564	0.461370732
565	0.4612564964
566	0.4611607677
567	0.4610531014
568	0.4608861988
569	0.4607955772
570	0.4606625477
571	0.4605840387
572	0.4604773908
573	0.4603735523
574	0.4602436523
575	0.4600982032
576	0.4599353325
577	0.4597523008
578	0.4596119062
579	0.459506777
580	0.4593828497
581	0.4592575801
582	0.4591874611
583	0.4590740292
584	0.458966003
585	0.458836557
586	0.4587515912
587	0.4586615215
588	0.4585607868
